,Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,Spectrum,Gender
20,inception_resnet_v2,0.92277575,0.08309958,0.57926804,0.14606552,2.8907726622316057,0.979516093000478,0.8963648957915501,0.8073339462280273,0.6780399501488336,0.906473994255066,0.0531446266573621,0.0531496062992126,0.0531471164782873,0.9832677165354332,0.7106299212598425,0.2539370078740157,0.0561023622047244,0.0275590551181102,0.9872208653175156,0.8125979900360107,1.03007173538208,0.9674351215362548,0.8897225260734558,0.8161208629608154,0.7690787315368652,0.2592730820178985,VIS,all
21,efficientnet_b0,0.87068075,0.10540114,0.5791948,0.14511321,2.2984004887518013,0.9468520522439056,0.7845941819725403,0.7589422464370728,0.5330041805746718,0.8505116701126099,0.1103751392843877,0.1103896103896103,0.110382374836999,1.0,0.9448051948051948,0.6071428571428571,0.2337662337662337,0.125,0.997152408072304,0.7634796500205994,1.1388349533081057,1.0019822120666504,0.9072781205177308,0.8204026818275452,0.7712582945823669,0.205752819776535,VIS,male
22,efficientnet_b0,0.8933242,0.09069761,0.58030283,0.14172201,2.6309340299750894,0.9627861775389304,0.825526950533396,0.7690047025680542,0.6276019351515152,0.8811798095703125,0.0888324873096446,0.0898702031602708,0.0893513452349577,0.9974619289340102,0.9923857868020304,0.5761421319796954,0.1852791878172588,0.0812182741116751,0.4652934537246049,0.7695210576057434,1.168424129486084,1.0482816696166992,0.9231279492378236,0.8190237283706665,0.7590880393981934,0.5919321775436401,VIS,female
23,efficientnet_b0,0.87807345,0.10214927,0.51746583,0.15226158,2.781400665547979,0.9690586304748589,0.8434495043710953,0.750725269317627,0.5635428257127179,0.8701996803283691,0.0816905094207955,0.0816929133858267,0.0816917114033111,0.999015748031496,0.9232283464566928,0.4192913385826771,0.1269685039370078,0.062007874015748,0.9854108513607815,0.7378509044647217,1.1683619022369385,0.9927648305892944,0.8777976632118225,0.7762340307235718,0.7202302813529968,0.2056493163108825,VIS,all
24,xception,0.904008,0.07852191,0.6061743,0.12495482,2.8540782926922645,0.9733322654193646,0.8663513037661855,0.7938198447227478,0.6734739352618218,0.8782442808151245,0.0665584415584415,0.0679088770583137,0.0672336593083776,0.987012987012987,0.801948051948052,0.3555194805194805,0.099025974025974,0.0405844155844155,0.8376872601213322,0.7946208119392395,1.0270118713378906,0.9636169672012328,0.8917175531387329,0.8150230050086975,0.7675926089286804,0.47819584608078,VIS,male
25,xception,0.93363947,0.06576718,0.6407922,0.13363892,2.7805427851918143,0.9783916621787306,0.8613406801801285,0.8176620006561279,0.6808629903062399,0.8770915269851685,0.0760440180586907,0.0761421319796954,0.0760930750191931,0.9746192893401016,0.8959390862944162,0.4593908629441624,0.116751269035533,0.0406091370558375,0.2267212189616252,0.830985426902771,1.059325098991394,1.0102050304412842,0.9317176342010498,0.856073260307312,0.8115806579589844,0.7400491237640381,VIS,female
26,xception,0.91292644,0.08245699,0.5646627,0.13809009,3.062256721134806,0.9800122756757202,0.8947178363215763,0.771213948726654,0.6703983794345069,0.8784141540527344,0.0551072923935799,0.0551181102362204,0.0551127013149001,0.9901574803149606,0.7578740157480315,0.2627952755905511,0.0580708661417322,0.0216535433070866,0.7984560362875087,0.7873272895812988,1.059341311454773,0.965751588344574,0.8803731203079224,0.7946574687957764,0.743390679359436,0.4448963701725006,VIS,all
0,efficientnet_b0,0.93747735,0.07100209,0.5853422,0.13113919,3.3394029643256804,0.9887685877111886,0.8994159215355357,0.7977712154388428,0.879037661345059,0.8369962573051453,0.0503788632680333,0.0503793499258097,0.0503791065969215,0.9945407206248776,0.7487331672219267,0.1906408354097259,0.0508132926453708,0.0235168957697583,0.4917368002047141,0.7957512140274048,1.0651178359985352,0.98710834980011,0.8858122229576111,0.7962373495101929,0.7519890666007996,0.5896011590957642,NIR,male
1,efficientnet_b0,0.9243797,0.074811466,0.54463017,0.1347884,3.483745232355332,0.9923792145644288,0.9120471219242732,0.7729089260101318,0.8906084080611952,0.8122798800468445,0.0440970958157669,0.0441005456659808,0.0440988207408738,0.768293228374631,0.4182619196708113,0.168105376151713,0.0383307988192146,0.013641649521424,0.3555776073655655,0.7793455123901367,0.982921540737152,0.9183415174484252,0.8531139492988586,0.7721680402755737,0.7257590889930725,0.5914835333824158,NIR,female
2,efficientnet_b0,0.93687224,0.06928414,0.55111,0.14519341,3.391100331773264,0.9914966576629162,0.913693899707747,0.792152464389801,0.890456340072942,0.8311947584152222,0.0432455836508486,0.043249456877096,0.0432475202639723,0.9888205749913404,0.6435919639764461,0.1761343955663318,0.0370886733633529,0.0135001731901628,0.4065976250237286,0.7942644357681274,1.057166337966919,0.9705665707588196,0.878740668296814,0.7849886417388916,0.7369728684425354,0.5896011590957642,NIR,all
3,xception,0.9576908,0.060404237,0.67376286,0.11774383,3.034252643251287,0.9813012482031084,0.8812367648736182,0.8484982848167419,0.831824766312787,0.8810027241706848,0.0616452475050467,0.0616478624821523,0.0616465549935995,0.9978722808589268,0.964766650802094,0.3944259357764775,0.0863685993448864,0.0256586130630756,0.6969555884109068,0.863310694694519,1.1341279745101929,1.0581423044204712,0.9478552341461182,0.8757824897766113,0.8314032554626465,0.6110377907752991,NIR,male
4,xception,0.9324939,0.066439934,0.5625296,0.12986504,3.586718137175205,0.9911672732024744,0.9068335457682252,0.7712117433547974,0.8790483615854159,0.8348797559738159,0.0474087818397472,0.0474103229269165,0.0474095523833319,0.9908981125324268,0.6759549154664997,0.1967081134269612,0.0446819930226317,0.0092807943465426,0.2914812161638462,0.7998571395874023,1.055128812789917,0.9683525562286376,0.8831032514572144,0.7960427403450012,0.7307697534561157,0.6240675449371338,NIR,female
5,xception,0.9513897,0.06306726,0.57656235,0.15415405,3.1826258261464884,0.985658115248802,0.9020195362565722,0.8316084146499634,0.8569542167504967,0.8634690046310425,0.0509248908481154,0.0509265673709733,0.0509257291095443,0.9981728437824732,0.9539573952199516,0.3573346033945272,0.0525285763768617,0.0180897125043297,0.411100799392546,0.8429990410804749,1.1342313289642334,1.043473243713379,0.9365939497947692,0.8445173501968384,0.7807908058166504,0.6110377907752991,NIR,all
6,inception_v3,0.9329349,0.063880175,0.6065778,0.11281545,3.5599998057974367,0.9922117443643212,0.9133242892504564,0.7946917414665222,0.8884122783252291,0.8340363502502441,0.0441343720678968,0.0441361740250286,0.0441352730464627,0.977294997060388,0.4668943699431675,0.1663400431143089,0.036955121923906,0.0123463702791231,0.4276285860510079,0.8038204908370972,1.0316053628921509,0.9389036893844604,0.873124361038208,0.797248363494873,0.7570186853408813,0.6252291202545166,NIR,male
7,inception_v3,0.9170027,0.07462103,0.56037897,0.11699368,3.6344961211398674,0.9925276180022712,0.9143645653711304,0.7596936225891113,0.901229268867999,0.8004816174507141,0.0430460465280142,0.043049467752035,0.0430477571400246,0.989131407102603,0.4411172734591645,0.1341130691475087,0.036586456749262,0.0153189015117631,0.4412293166418094,0.7629640102386475,1.0373234748840332,0.9209784269332886,0.8320889472961426,0.7545180320739746,0.7115796804428101,0.5745620727539062,NIR,female
