,Experiment ID,AUC,EER,ZeroFMR,FMR10,FMR20,FMR100,FMR1000,Train Balance,Test Balance
101,EfficientNetB4,0.99048224,0.0502,0.8616,0.0166,0.0506,0.1716,0.4522,F25M75,F50M50
102,EfficientNetB4,0.99210424,0.0418,0.7456,0.008,0.0298,0.2042,0.4416,F50M50,F50M50
103,EfficientNetB4,0.98825664,0.0544,0.726,0.0206,0.0596,0.2398,0.5212,F75M25,F50M50
104,EfficientNetB4,0.9864602,0.0586,0.9032,0.028,0.067,0.2608,0.5962,M100,F50M50
105,InceptionResNetV2,0.9834346,0.0674,0.9184,0.0326,0.0982,0.328,0.5664,F100,F50M50
106,InceptionResNetV2,0.98846184,0.0516,0.8222,0.0164,0.0538,0.2476,0.621,F25M75,F50M50
107,InceptionResNetV2,0.99152208,0.047,0.6682,0.0138,0.0438,0.188,0.3998,F50M50,F50M50
108,InceptionResNetV2,0.98560616,0.0582,0.8614,0.0266,0.0744,0.2838,0.5808,F75M25,F50M50
109,InceptionResNetV2,0.98354524,0.0646,0.943,0.0332,0.0886,0.306,0.6998,M100,F50M50
110,InceptionV3,0.97214056,0.0856,0.883,0.0668,0.1744,0.4396,0.7268,F100,F50M50
111,InceptionV3,0.9820122,0.0658,0.9434,0.032,0.101,0.3484,0.7836,F25M75,F50M50
112,InceptionV3,0.9889624,0.0540999999999999,0.8098,0.0206,0.0596,0.2184,0.5022,F50M50,F50M50
113,InceptionV3,0.98071154,0.072,0.7964,0.0436,0.1058,0.3476,0.696,F75M25,F50M50
114,InceptionV3,0.97799628,0.075,0.82,0.0482,0.1282,0.4178,0.67,M100,F50M50
115,MobileNetV2,0.97377852,0.0854,0.934,0.0686,0.169,0.443,0.7822,F100,F50M50
116,MobileNetV2,0.98416776,0.0626,0.9022,0.0306,0.0846,0.3208,0.7378,F25M75,F50M50
117,MobileNetV2,0.98673618,0.0596,0.8146,0.023,0.0698,0.2626,0.7168,F50M50,F50M50
118,MobileNetV2,0.9801812,0.0696,0.9528,0.0368,0.1078,0.3778,0.707,F75M25,F50M50
119,MobileNetV2,0.97852798,0.0726,0.7502,0.0436,0.1222,0.413,0.7046,M100,F50M50
120,ResNet50,0.97970764,0.0678,0.7952,0.0388,0.1098,0.3936,0.7202,F100,F50M50
121,ResNet50,0.9897726,0.05,0.643,0.018,0.05,0.2346,0.4826,F25M75,F50M50
122,ResNet50,0.98858484,0.0494,0.7612,0.016,0.0478,0.2868,0.6218,F50M50,F50M50
123,ResNet50,0.9865275,0.0588,0.8716,0.0226,0.0672,0.3098,0.6584,F75M25,F50M50
124,ResNet50,0.98552592,0.0606,0.8372,0.028,0.0792,0.2734,0.6386,M100,F50M50
125,VGG19,0.98217872,0.0672,0.7942,0.0384,0.0954,0.3484,0.6614,F100,F50M50
126,VGG19,0.98375666,0.0626,0.8902,0.0314,0.083,0.3348,0.6364,F25M75,F50M50
127,VGG19,0.98644432,0.0536,0.9468,0.0174,0.061,0.3274,0.6168,F50M50,F50M50
128,VGG19,0.97888088,0.0734,0.8406,0.0456,0.1244,0.3714,0.7216,F75M25,F50M50
129,VGG19,0.97392996,0.0792,0.9784,0.0558,0.144,0.4902,0.7888,M100,F50M50
130,Xception,0.97225468,0.0866,0.9158,0.0716,0.169,0.458,0.7332,F100,F50M50
131,Xception,0.98133284,0.0706,0.947,0.041,0.1044,0.3184,0.7466,F25M75,F50M50
132,Xception,0.98527096,0.06,0.8818,0.03,0.0718,0.3092,0.7172,F50M50,F50M50
133,Xception,0.97701648,0.0812,0.7732,0.0548,0.1374,0.4214,0.7212,F75M25,F50M50
134,Xception,0.97794806,0.0774,0.9474,0.0514,0.126,0.4054,0.8156,M100,F50M50
